seq,orderid,orderdate,shipdate,customerid,productid,quantity,discount
37,CA-2016-1175902,2016-12-08 11:01:49,2016-12-10 11:01:49,GH-14485,FUR-FU-10003664,5,0.60
38,CA-2015-1174151,2015-12-27 13:43:19,2015-12-31 13:43:19,SN-20710,OFF-EN-10002986,9,0.20
39,CA-2015-1174152,2015-12-27 14:27:03,2015-12-31 14:27:03,SN-20710,FUR-BO-10002545,3,0.32
40,CA-2015-1174153,2015-12-27 15:09:38,2015-12-31 15:09:38,SN-20710,FUR-CH-10004218,3,0.30
41,CA-2015-1174154,2015-12-27 16:59:39,2015-12-31 16:59:39,SN-20710,TEC-PH-10000486,4,0.20
42,CA-2017-1209991,2017-09-10 01:01:48,2017-09-15 01:01:48,LC-16930,TEC-PH-10004093,4,0.20
43,CA-2016-1013431,2016-07-17 06:22:23,2016-07-22 06:22:23,RA-19885,OFF-ST-10003479,2,0.00
44,CA-2017-1396191,2017-09-19 12:43:40,2017-09-23 12:43:40,ES-14080,OFF-ST-10003282,2,0.20
45,CA-2016-1182551,2016-03-11 11:09:19,2016-03-13 11:09:19,ON-18715,TEC-AC-10000171,2,0.00
46,CA-2016-1182552,2016-03-11 12:33:35,2016-03-13 12:33:35,ON-18715,OFF-BI-10003291,2,0.00
47,CA-2014-1467031,2014-10-20 04:06:50,2014-10-25 04:06:50,PO-18865,OFF-ST-10001713,4,0.00
48,CA-2016-1691941,2016-06-20 09:53:43,2016-06-25 09:53:43,LH-16900,TEC-AC-10002167,3,0.00
49,CA-2016-1691942,2016-06-20 10:14:28,2016-06-25 10:14:28,LH-16900,TEC-PH-10003988,2,0.00
50,CA-2015-1157421,2015-04-18 02:59:21,2015-04-22 02:59:21,DP-13000,OFF-BI-10004410,6,0.00
51,CA-2015-1157422,2015-04-18 03:20:59,2015-04-22 03:20:59,DP-13000,OFF-LA-10002762,6,0.00
52,CA-2015-1157423,2015-04-18 04:38:34,2015-04-22 04:38:34,DP-13000,FUR-FU-10001706,2,0.00
53,CA-2015-1157424,2015-04-18 05:32:00,2015-04-22 05:32:00,DP-13000,FUR-CH-10003061,1,0.00
54,CA-2016-1058161,2016-12-11 01:44:39,2016-12-17 01:44:39,JM-15265,OFF-FA-10000304,7,0.00
55,CA-2016-1058162,2016-12-11 02:49:35,2016-12-17 02:49:35,JM-15265,TEC-PH-10002447,5,0.00
56,CA-2016-1116821,2016-06-17 14:54:10,2016-06-18 14:54:10,TB-21055,OFF-ST-10000604,6,0.00
57,CA-2016-1116822,2016-06-17 15:18:08,2016-06-18 15:18:08,TB-21055,OFF-PA-10001569,5,0.00
58,CA-2016-1116823,2016-06-17 16:44:44,2016-06-18 16:44:44,TB-21055,FUR-CH-10003968,5,0.10
59,CA-2016-1116824,2016-06-17 17:46:45,2016-06-18 17:46:45,TB-21055,OFF-PA-10000587,2,0.00
60,CA-2016-1116825,2016-06-17 18:58:54,2016-06-18 18:58:54,TB-21055,TEC-AC-10002167,2,0.00
61,CA-2016-1116826,2016-06-17 19:01:24,2016-06-18 19:01:24,TB-21055,OFF-BI-10001460,4,0.20
62,CA-2016-1116827,2016-06-17 20:54:51,2016-06-18 20:54:51,TB-21055,OFF-AR-10001868,1,0.00
63,CA-2015-1355451,2015-11-24 08:45:02,2015-11-30 08:45:02,KM-16720,TEC-AC-10004633,2,0.00
64,CA-2015-1355452,2015-11-24 09:37:15,2015-11-30 09:37:15,KM-16720,OFF-BI-10001078,6,0.20
65,CA-2015-1355453,2015-11-24 10:23:43,2015-11-30 10:23:43,KM-16720,OFF-PA-10003892,3,0.00
66,CA-2015-1355454,2015-11-24 11:36:45,2015-11-30 11:36:45,KM-16720,FUR-FU-10000397,4,0.00
67,US-2015-1641751,2015-04-30 11:12:13,2015-05-05 11:12:13,PS-18970,FUR-CH-10001146,5,0.30
68,CA-2014-1063761,2014-12-05 08:40:57,2014-12-10 08:40:57,BS-11590,OFF-AR-10002671,8,0.20
69,CA-2014-1063762,2014-12-05 09:31:58,2014-12-10 09:31:58,BS-11590,TEC-PH-10002726,4,0.20
70,CA-2016-1198231,2016-06-04 12:38:19,2016-06-06 12:38:19,KD-16270,OFF-PA-10000482,2,0.00
71,CA-2016-1060751,2016-09-18 02:19:14,2016-09-23 02:19:14,HM-14980,OFF-BI-10004654,1,0.20
72,CA-2017-1144401,2017-09-14 12:52:33,2017-09-17 12:52:33,TB-21520,OFF-PA-10004675,3,0.00
73,US-2015-1340261,2015-04-26 11:12:01,2015-05-02 11:12:01,JE-15745,FUR-CH-10000513,8,0.20
74,US-2015-1340262,2015-04-26 12:12:44,2015-05-02 12:12:44,JE-15745,FUR-FU-10003708,2,0.20
75,US-2015-1340263,2015-04-26 13:49:00,2015-05-02 13:49:00,JE-15745,OFF-ST-10004123,1,0.20
76,US-2017-1180381,2017-12-09 14:40:32,2017-12-11 14:40:32,KB-16600,OFF-BI-10004182,3,0.80
77,US-2017-1180382,2017-12-09 15:13:03,2017-12-11 15:13:03,KB-16600,FUR-FU-10000260,3,0.60
78,US-2017-1180383,2017-12-09 16:25:18,2017-12-11 16:25:18,KB-16600,OFF-ST-10000615,3,0.20
79,US-2014-1476061,2014-11-26 02:28:11,2014-12-01 02:28:11,JE-15745,FUR-FU-10003194,5,0.60
80,CA-2016-1272081,2016-06-12 09:02:41,2016-06-15 09:02:41,SC-20770,OFF-AP-10002118,1,0.00
81,CA-2016-1272082,2016-06-12 10:08:05,2016-06-15 10:08:05,SC-20770,OFF-BI-10002309,3,0.00
82,CA-2014-1394511,2014-10-12 11:11:23,2014-10-16 11:11:23,DN-13690,OFF-AR-10002053,5,0.00
83,CA-2014-1394512,2014-10-12 12:14:30,2014-10-16 12:14:30,DN-13690,OFF-ST-10002370,1,0.00
84,CA-2015-1497341,2015-09-03 04:54:29,2015-09-08 04:54:29,JC-16105,OFF-EN-10000927,7,0.20
85,US-2017-1196621,2017-11-13 09:57:05,2017-11-16 09:57:05,CS-12400,OFF-ST-10003656,3,0.20
86,CA-2017-1400881,2017-05-28 11:55:40,2017-05-30 11:55:40,PO-18865,FUR-CH-10000863,2,0.00
87,CA-2017-1555581,2017-10-26 13:18:20,2017-11-02 13:18:20,PG-18895,TEC-AC-10001998,1,0.00
88,CA-2017-1555582,2017-10-26 14:45:31,2017-11-02 14:45:31,PG-18895,OFF-LA-10000134,2,0.00
89,CA-2016-1596951,2016-04-05 07:31:14,2016-04-10 07:31:14,GM-14455,OFF-ST-10003442,7,0.20
90,CA-2016-1098061,2016-09-17 06:40:34,2016-09-22 06:40:34,JS-15685,OFF-AR-10004930,3,0.00
91,CA-2016-1098062,2016-09-17 07:40:06,2016-09-22 07:40:06,JS-15685,TEC-PH-10004093,2,0.20
92,CA-2016-1098063,2016-09-17 08:43:16,2016-09-22 08:43:16,JS-15685,OFF-PA-10000304,1,0.00
93,CA-2015-1495871,2015-01-31 06:10:02,2015-02-05 06:10:02,KB-16315,OFF-PA-10003177,2,0.00
94,CA-2015-1495872,2015-01-31 07:33:21,2015-02-05 07:33:21,KB-16315,FUR-FU-10003799,3,0.00
95,CA-2015-1495873,2015-01-31 08:54:45,2015-02-05 08:54:45,KB-16315,OFF-BI-10002852,2,0.00
96,US-2017-1094841,2017-11-06 12:11:50,2017-11-12 12:11:50,RB-19705,OFF-BI-10004738,1,0.70
97,CA-2017-1610181,2017-11-09 05:49:47,2017-11-11 05:49:47,PN-18775,FUR-FU-10000629,7,0.00
98,CA-2017-1578331,2017-06-17 09:29:52,2017-06-20 09:29:52,KD-16345,OFF-BI-10001721,3,0.20
99,CA-2016-1492231,2016-09-06 13:05:50,2016-09-11 13:05:50,ER-13855,OFF-AP-10000358,6,0.00
100,CA-2016-1585681,2016-08-29 06:58:08,2016-09-02 06:58:08,RB-19465,OFF-PA-10003256,7,0.20
101,CA-2016-1585682,2016-08-29 07:58:10,2016-09-02 07:58:10,RB-19465,TEC-AC-10001767,3,0.20
102,CA-2016-1585683,2016-08-29 08:44:50,2016-09-02 08:44:50,RB-19465,OFF-BI-10002609,3,0.80
103,CA-2016-1299031,2016-12-01 00:47:35,2016-12-04 00:47:35,GZ-14470,OFF-PA-10004040,4,0.00
104,US-2015-1568671,2015-11-13 13:08:49,2015-11-17 13:08:49,LC-16870,TEC-AC-10001552,6,0.20
105,US-2015-1568672,2015-11-13 14:04:33,2015-11-17 14:04:33,LC-16870,FUR-FU-10004006,3,0.20
106,US-2015-1568673,2015-11-13 15:36:32,2015-11-17 15:36:32,LC-16870,OFF-BI-10002794,3,0.70
107,CA-2017-1190041,2017-11-23 08:59:46,2017-11-28 08:59:46,JM-15250,TEC-AC-10003499,8,0.20
108,CA-2017-1190042,2017-11-23 09:21:02,2017-11-28 09:21:02,JM-15250,TEC-PH-10002844,1,0.20
109,CA-2017-1190043,2017-11-23 10:02:40,2017-11-28 10:02:40,JM-15250,OFF-AR-10000390,1,0.20
110,CA-2015-1294761,2015-10-15 00:10:10,2015-10-20 00:10:10,PA-19060,TEC-AC-10000844,5,0.20
111,CA-2017-1467801,2017-12-25 01:10:32,2017-12-30 01:10:32,CV-12805,FUR-FU-10001934,2,0.00
112,CA-2016-1288671,2016-11-03 07:04:51,2016-11-10 07:04:51,CL-12565,OFF-AR-10000380,2,0.00
113,CA-2016-1288672,2016-11-03 08:05:54,2016-11-10 08:05:54,CL-12565,OFF-BI-10003981,6,0.00
114,CA-2014-1152591,2014-08-25 11:47:59,2014-08-27 11:47:59,RC-19960,OFF-FA-10000621,14,0.20
115,CA-2014-1152592,2014-08-25 12:20:47,2014-08-27 12:20:47,RC-19960,OFF-EN-10002600,2,0.20
116,CA-2014-1152593,2014-08-25 13:16:51,2014-08-27 13:16:51,RC-19960,OFF-PA-10004965,3,0.20
117,CA-2014-1152594,2014-08-25 14:41:56,2014-08-27 14:41:56,RC-19960,OFF-EN-10002504,6,0.20
118,CA-2015-1104571,2015-03-02 07:45:25,2015-03-06 07:45:25,DK-13090,FUR-TA-10001768,3,0.00
119,US-2015-1364761,2015-04-05 08:00:26,2015-04-10 08:00:26,GG-14650,OFF-BI-10003650,1,0.70
120,CA-2016-1037301,2016-06-12 00:02:33,2016-06-15 00:02:33,SC-20725,FUR-FU-10002157,3,0.00
121,CA-2016-1037302,2016-06-12 01:13:31,2016-06-15 01:13:31,SC-20725,OFF-BI-10003910,4,0.00
122,CA-2016-1037303,2016-06-12 02:51:16,2016-06-15 02:51:16,SC-20725,OFF-ST-10000777,6,0.00
123,CA-2016-1037304,2016-06-12 03:01:28,2016-06-15 03:01:28,SC-20725,OFF-EN-10002500,9,0.00
124,CA-2016-1037305,2016-06-12 04:06:38,2016-06-15 04:06:38,SC-20725,TEC-PH-10003875,7,0.00
125,US-2014-1520301,2014-12-26 02:08:17,2014-12-28 02:08:17,AD-10180,FUR-CH-10004063,3,0.30
126,US-2014-1346141,2014-09-20 08:45:41,2014-09-25 08:45:41,PF-19165,FUR-TA-10004534,6,0.50
127,US-2017-1072721,2017-11-05 04:16:36,2017-11-12 04:16:36,TS-21610,OFF-BI-10003274,2,0.70
128,US-2017-1072722,2017-11-05 05:42:00,2017-11-12 05:42:00,TS-21610,OFF-ST-10002974,7,0.20
129,US-2016-1259691,2016-11-06 03:21:41,2016-11-10 03:21:41,LS-16975,FUR-CH-10001146,2,0.20
130,US-2016-1259692,2016-11-06 04:23:02,2016-11-10 04:23:02,LS-16975,FUR-FU-10003773,3,0.00
131,US-2017-1641471,2017-02-02 05:36:09,2017-02-05 05:36:09,DW-13585,TEC-PH-10002293,5,0.40
132,US-2017-1641472,2017-02-02 06:37:11,2017-02-05 06:37:11,DW-13585,OFF-PA-10002377,2,0.20
133,US-2017-1641473,2017-02-02 07:54:48,2017-02-05 07:54:48,DW-13585,OFF-FA-10002780,9,0.20
134,CA-2016-1455831,2016-10-13 00:20:17,2016-10-19 00:20:17,LC-16885,OFF-PA-10001804,3,0.00
135,CA-2016-1455832,2016-10-13 01:09:36,2016-10-19 01:09:36,LC-16885,OFF-PA-10001736,1,0.00
136,CA-2016-1455833,2016-10-13 02:01:22,2016-10-19 02:01:22,LC-16885,OFF-AR-10001149,4,0.00
137,CA-2016-1455834,2016-10-13 03:22:40,2016-10-19 03:22:40,LC-16885,OFF-FA-10002988,2,0.00
138,CA-2016-1455835,2016-10-13 04:10:51,2016-10-19 04:10:51,LC-16885,OFF-BI-10004781,3,0.20
139,CA-2016-1455836,2016-10-13 05:18:10,2016-10-19 05:18:10,LC-16885,OFF-SU-10001218,6,0.00
140,CA-2016-1455837,2016-10-13 06:58:43,2016-10-19 06:58:43,LC-16885,FUR-FU-10001706,14,0.00
141,CA-2016-1103661,2016-09-05 12:07:46,2016-09-07 12:07:46,JD-15895,FUR-FU-10004848,2,0.20
142,CA-2017-1061801,2017-09-18 11:49:13,2017-09-23 11:49:13,SH-19975,OFF-AR-10000940,3,0.00
143,CA-2017-1061802,2017-09-18 12:50:02,2017-09-23 12:50:02,SH-19975,OFF-EN-10004030,3,0.00
144,CA-2017-1061803,2017-09-18 13:44:31,2017-09-23 13:44:31,SH-19975,OFF-PA-10004327,3,0.00
145,CA-2017-1553761,2017-12-22 12:07:16,2017-12-27 12:07:16,SG-20080,OFF-AP-10001058,3,0.00
146,CA-2015-1107441,2015-09-07 04:13:59,2015-09-12 04:13:59,HA-14920,OFF-ST-10003656,7,0.00
147,CA-2014-1100721,2014-10-22 00:50:19,2014-10-28 00:50:19,MG-17680,FUR-FU-10000521,4,0.20
148,CA-2016-1144891,2016-12-05 00:38:06,2016-12-09 00:38:06,JE-16165,TEC-PH-10000215,11,0.00
149,CA-2016-1144892,2016-12-05 01:15:56,2016-12-09 01:15:56,JE-16165,TEC-PH-10001448,3,0.00
150,CA-2016-1144893,2016-12-05 02:32:15,2016-12-09 02:32:15,JE-16165,FUR-CH-10000454,8,0.00
151,CA-2016-1144894,2016-12-05 03:54:12,2016-12-09 03:54:12,JE-16165,OFF-BI-10002735,5,0.00
152,CA-2016-1588341,2016-03-13 06:12:12,2016-03-16 06:12:12,TW-21025,OFF-AP-10000326,5,0.20
153,CA-2016-1588342,2016-03-13 07:58:29,2016-03-16 07:58:29,TW-21025,TEC-PH-10001254,2,0.20
154,CA-2015-1249191,2015-05-31 14:10:07,2015-06-02 14:10:07,SP-20650,OFF-PA-10001950,7,0.00
155,CA-2015-1249192,2015-05-31 15:44:12,2015-06-02 15:44:12,SP-20650,OFF-PA-10002254,4,0.00
156,CA-2015-1249193,2015-05-31 16:23:41,2015-06-02 16:23:41,SP-20650,OFF-ST-10001590,6,0.00
157,CA-2015-1189481,2015-05-28 14:20:47,2015-06-03 14:20:47,NK-18490,OFF-AR-10001547,3,0.00
158,CA-2014-1042691,2014-03-01 10:16:53,2014-03-06 10:16:53,DB-13060,FUR-CH-10004063,2,0.20
159,CA-2016-1141041,2016-11-20 04:22:13,2016-11-24 04:22:13,NP-18670,OFF-LA-10002475,2,0.00
160,CA-2016-1141042,2016-11-20 05:36:46,2016-11-24 05:36:46,NP-18670,TEC-PH-10004536,7,0.00
161,CA-2016-1627331,2016-05-11 03:10:03,2016-05-12 03:10:03,TT-21070,OFF-PA-10002751,1,0.00
162,CA-2015-1196971,2015-12-28 05:57:31,2015-12-31 05:57:31,EM-13960,TEC-AC-10003657,2,0.20
163,CA-2016-1545081,2016-11-16 04:56:49,2016-11-20 04:56:49,RD-19900,OFF-EN-10001990,5,0.00
164,CA-2016-1138171,2016-11-07 12:12:24,2016-11-11 12:12:24,MJ-17740,OFF-BI-10004002,2,0.20
165,CA-2014-1398921,2014-09-08 01:45:48,2014-09-12 01:45:48,BM-11140,OFF-AR-10004441,3,0.20
166,CA-2014-1398922,2014-09-08 02:31:50,2014-09-12 02:31:50,BM-11140,TEC-MA-10000822,8,0.40
167,CA-2014-1398923,2014-09-08 03:05:09,2014-09-12 03:05:09,BM-11140,OFF-ST-10000991,3,0.20
168,CA-2014-1398924,2014-09-08 04:58:54,2014-09-12 04:58:54,BM-11140,FUR-CH-10004287,9,0.30
169,CA-2014-1398925,2014-09-08 05:14:42,2014-09-12 05:14:42,BM-11140,OFF-AR-10002656,6,0.20
170,CA-2014-1398926,2014-09-08 06:43:17,2014-09-12 06:43:17,BM-11140,OFF-AP-10002518,5,0.80
171,CA-2014-1398927,2014-09-08 07:21:31,2014-09-12 07:21:31,BM-11140,TEC-PH-10003931,3,0.20
172,CA-2014-1189621,2014-08-05 05:12:47,2014-08-09 05:12:47,CS-12130,OFF-PA-10000659,3,0.00
173,CA-2014-1189622,2014-08-05 06:29:37,2014-08-09 06:29:37,CS-12130,OFF-PA-10001144,2,0.00
174,CA-2014-1189623,2014-08-05 07:52:53,2014-08-09 07:52:53,CS-12130,FUR-CH-10003817,7,0.20
175,US-2014-1008531,2014-09-14 02:12:13,2014-09-19 02:12:13,JB-15400,OFF-AP-10000891,2,0.80
176,US-2014-1008532,2014-09-14 03:20:28,2014-09-19 03:20:28,JB-15400,OFF-LA-10003148,4,0.20
177,US-2017-1523661,2017-04-21 14:06:01,2017-04-25 14:06:01,SJ-20500,OFF-AP-10002684,4,0.80
178,US-2015-1015111,2015-11-21 04:29:51,2015-11-23 04:29:51,JE-15745,FUR-CH-10004698,7,0.30
179,US-2015-1015112,2015-11-21 05:02:37,2015-11-23 05:02:37,JE-15745,OFF-SU-10002189,5,0.20
180,CA-2015-1372251,2015-12-15 05:19:21,2015-12-19 05:19:21,JK-15640,OFF-AR-10001940,1,0.00
181,CA-2014-1661911,2014-12-05 06:40:14,2014-12-09 06:40:14,DK-13150,OFF-ST-10003455,2,0.20
182,CA-2014-1661912,2014-12-05 07:13:15,2014-12-09 07:13:15,DK-13150,TEC-AC-10004659,7,0.20
183,CA-2014-1582741,2014-11-19 14:56:32,2014-11-24 14:56:32,RM-19675,TEC-PH-10003273,4,0.00
184,CA-2014-1582742,2014-11-19 15:16:29,2014-11-24 15:16:29,RM-19675,TEC-PH-10004896,5,0.00
185,CA-2014-1582743,2014-11-19 16:30:45,2014-11-24 16:30:45,RM-19675,TEC-AC-10002345,2,0.00
186,CA-2016-1050181,2016-11-28 06:47:46,2016-12-02 06:47:46,SK-19990,OFF-BI-10001890,2,0.00
187,CA-2014-1232601,2014-08-26 10:35:30,2014-08-30 10:35:30,FM-14290,TEC-AC-10002323,8,0.00
188,CA-2016-1570001,2016-07-16 07:01:14,2016-07-22 07:01:14,AM-10360,OFF-ST-10001328,3,0.20
189,CA-2016-1570002,2016-07-16 08:22:19,2016-07-22 08:22:19,AM-10360,OFF-PA-10001950,3,0.20
190,CA-2015-1022811,2015-10-12 04:17:16,2015-10-14 04:17:16,MP-17470,FUR-BO-10002613,4,0.20
191,CA-2015-1022812,2015-10-12 05:13:55,2015-10-14 05:13:55,MP-17470,TEC-PH-10001552,6,0.00
192,CA-2015-1022813,2015-10-12 06:24:04,2015-10-14 06:24:04,MP-17470,OFF-PA-10000061,8,0.00
193,CA-2015-1022814,2015-10-12 07:56:06,2015-10-14 07:56:06,MP-17470,FUR-BO-10002545,3,0.20
194,CA-2015-1022815,2015-10-12 08:16:36,2015-10-14 08:16:36,MP-17470,OFF-AR-10003514,5,0.00
195,CA-2015-1314571,2015-10-31 13:36:21,2015-11-06 13:36:21,MZ-17515,OFF-EN-10001509,7,0.00
196,CA-2014-1400041,2014-03-21 10:43:12,2014-03-25 10:43:12,CB-12025,OFF-AR-10004685,2,0.20
197,CA-2014-1400042,2014-03-21 11:29:34,2014-03-25 11:29:34,CB-12025,OFF-AR-10004027,3,0.20
198,CA-2017-1077201,2017-11-06 03:05:27,2017-11-13 03:05:27,VM-21685,OFF-ST-10001414,3,0.00
199,US-2017-1243031,2017-07-06 03:16:45,2017-07-13 03:16:45,FH-14365,OFF-BI-10000343,2,0.70
200,US-2017-1243032,2017-07-06 04:56:25,2017-07-13 04:56:25,FH-14365,OFF-PA-10002749,3,0.20
201,CA-2017-1050741,2017-06-24 03:16:33,2017-06-29 03:16:33,MB-17305,OFF-PA-10002666,3,0.20
202,CA-2014-1336901,2014-08-03 13:25:25,2014-08-05 13:25:25,BS-11755,FUR-TA-10004289,2,0.50
203,CA-2014-1336902,2014-08-03 14:06:28,2014-08-05 14:06:28,BS-11755,OFF-AP-10003622,1,0.20
204,US-2017-1167011,2017-12-17 01:47:10,2017-12-21 01:47:10,LC-17140,OFF-AP-10003217,2,0.80
205,CA-2017-1263821,2017-06-03 00:24:37,2017-06-07 00:24:37,HK-14890,FUR-FU-10002960,7,0.20
206,CA-2017-1083291,2017-12-09 12:39:03,2017-12-14 12:39:03,LE-16810,TEC-PH-10001918,4,0.20
207,CA-2017-1358601,2017-12-01 12:42:45,2017-12-07 12:42:45,JH-15985,OFF-ST-10000642,4,0.00
208,CA-2017-1358602,2017-12-01 13:25:22,2017-12-07 13:25:22,JH-15985,TEC-PH-10001700,2,0.00
209,CA-2017-1358603,2017-12-01 14:39:52,2017-12-07 14:39:52,JH-15985,OFF-BI-10003274,4,0.00
210,CA-2017-1358604,2017-12-01 15:36:08,2017-12-07 15:36:08,JH-15985,OFF-FA-10000134,9,0.00
211,CA-2017-1358605,2017-12-01 16:34:55,2017-12-07 16:34:55,JH-15985,OFF-ST-10001522,1,0.00
212,CA-2015-1010071,2015-02-09 07:07:10,2015-02-13 07:07:10,MS-17980,TEC-AC-10001266,2,0.20
213,CA-2015-1462621,2015-01-02 09:26:34,2015-01-09 09:26:34,VW-21775,OFF-LA-10004544,2,0.20
214,CA-2015-1462622,2015-01-02 10:03:55,2015-01-09 10:03:55,VW-21775,FUR-BO-10004695,5,0.50
215,CA-2015-1462623,2015-01-02 11:27:29,2015-01-09 11:27:29,VW-21775,TEC-PH-10002844,3,0.40
216,CA-2015-1462624,2015-01-02 12:56:02,2015-01-09 12:56:02,VW-21775,TEC-MA-10000864,9,0.70
217,CA-2015-1462625,2015-01-02 13:09:16,2015-01-09 13:09:16,VW-21775,TEC-AC-10000109,2,0.20
218,CA-2016-1301621,2016-10-28 06:40:23,2016-11-01 06:40:23,JH-15910,OFF-ST-10001328,6,0.00
219,CA-2016-1301622,2016-10-28 07:05:31,2016-11-01 07:05:31,JH-15910,TEC-PH-10002563,3,0.20
220,CA-2015-1693971,2015-12-24 10:09:50,2015-12-27 10:09:50,JB-15925,OFF-FA-10000585,2,0.20
221,CA-2015-1693972,2015-12-24 11:29:25,2015-12-27 11:29:25,JB-15925,OFF-PA-10004000,6,0.20
222,CA-2015-1693973,2015-12-24 12:39:28,2015-12-27 12:39:28,JB-15925,OFF-BI-10002852,4,0.70
223,CA-2015-1693974,2015-12-24 13:35:51,2015-12-27 13:35:51,JB-15925,FUR-FU-10000087,4,0.20
224,CA-2015-1693975,2015-12-24 14:04:52,2015-12-27 14:04:52,JB-15925,TEC-MA-10001148,4,0.70
225,CA-2015-1693976,2015-12-24 15:39:27,2015-12-27 15:39:27,JB-15925,OFF-AR-10001958,2,0.20
226,CA-2015-1630551,2015-08-09 12:44:34,2015-08-16 12:44:34,DS-13180,OFF-AR-10001026,1,0.00
227,CA-2015-1630552,2015-08-09 13:45:48,2015-08-16 13:45:48,DS-13180,FUR-TA-10003748,5,0.00
228,CA-2015-1630553,2015-08-09 14:05:11,2015-08-16 14:05:11,DS-13180,OFF-ST-10002485,1,0.00
229,US-2015-1454361,2015-02-28 11:17:26,2015-03-04 11:17:26,VD-21670,FUR-CH-10004860,2,0.20
